ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.History15AdminRequest	history15adminrequest	1590485824931	 	3.3.1
REQUEST	34		petclinic.css	1590485829151	1590485829182	OK	 
REQUEST	34		bootstrap.min.js	1590485829167	1590485829187	OK	 
REQUEST	34		jquery-ui.min.js	1590485829164	1590485829196	OK	 
REQUEST	29		jquery-ui.theme.min.css	1590485829180	1590485829199	OK	 
REQUEST	29		jquery-ui.min.css	1590485829180	1590485829203	OK	 
REQUEST	29		jquery.min.js	1590485829200	1590485829207	OK	 
REQUEST	29		jquery-ui.min.js	1590485829204	1590485829211	OK	 
REQUEST	29		bootstrap.min.js	1590485829208	1590485829216	OK	 
REQUEST	29		petclinic.css	1590485829179	1590485829217	OK	 
REQUEST	29		pets.png	1590485829181	1590485829219	OK	 
REQUEST	29		spring-pivotal-logo.png	1590485829182	1590485829220	OK	 
REQUEST	34		spring-pivotal-logo.png	1590485829154	1590485829221	OK	 
REQUEST	34		pets.png	1590485829153	1590485829224	OK	 
REQUEST	29		favicon.png	1590485829178	1590485829226	OK	 
USER	Reject	35	START	1590485829348	1590485829348
REQUEST	35		Home	1590485829349	1590485829356	OK	 
USER	Accept	30	START	1590485829364	1590485829364
REQUEST	30		Home	1590485829365	1590485829374	OK	 
REQUEST	35		jquery-ui.theme.min.css	1590485829371	1590485829414	OK	 
REQUEST	35		pets.png	1590485829372	1590485829416	OK	 
REQUEST	30		jquery-ui.theme.min.css	1590485829395	1590485829416	OK	 
REQUEST	35		jquery-ui.min.css	1590485829369	1590485829417	OK	 
REQUEST	30		pets.png	1590485829396	1590485829420	OK	 
REQUEST	35		jquery.min.js	1590485829415	1590485829428	OK	 
REQUEST	35		bootstrap.min.js	1590485829418	1590485829432	OK	 
REQUEST	30		jquery.min.js	1590485829417	1590485829433	OK	 
REQUEST	30		jquery-ui.min.js	1590485829421	1590485829439	OK	 
REQUEST	35		jquery-ui.min.js	1590485829416	1590485829440	OK	 
REQUEST	30		spring-pivotal-logo.png	1590485829397	1590485829442	OK	 
REQUEST	35		favicon.png	1590485829366	1590485829446	OK	 
REQUEST	30		jquery-ui.min.css	1590485829392	1590485829447	OK	 
REQUEST	30		bootstrap.min.js	1590485829434	1590485829450	OK	 
REQUEST	30		favicon.png	1590485829389	1590485829451	OK	 
REQUEST	35		spring-pivotal-logo.png	1590485829374	1590485829452	OK	 
REQUEST	35		petclinic.css	1590485829367	1590485829456	OK	 
REQUEST	30		petclinic.css	1590485829390	1590485829462	OK	 
USER	Reject	36	START	1590485829551	1590485829551
USER	Accept	31	START	1590485829555	1590485829555
REQUEST	36		Home	1590485829552	1590485829559	OK	 
REQUEST	31		Home	1590485829556	1590485829563	OK	 
REQUEST	36		jquery-ui.min.css	1590485829567	1590485829596	OK	 
REQUEST	36		jquery-ui.theme.min.css	1590485829569	1590485829607	OK	 
REQUEST	36		jquery.min.js	1590485829597	1590485829610	OK	 
REQUEST	31		jquery-ui.theme.min.css	1590485829571	1590485829613	OK	 
REQUEST	31		jquery-ui.min.css	1590485829570	1590485829616	OK	 
REQUEST	36		bootstrap.min.js	1590485829611	1590485829619	OK	 
REQUEST	36		jquery-ui.min.js	1590485829607	1590485829624	OK	 
REQUEST	31		jquery.min.js	1590485829614	1590485829627	OK	 
REQUEST	31		jquery-ui.min.js	1590485829617	1590485829630	OK	 
REQUEST	36		favicon.png	1590485829566	1590485829632	OK	 
REQUEST	36		petclinic.css	1590485829566	1590485829635	OK	 
REQUEST	31		petclinic.css	1590485829569	1590485829635	OK	 
REQUEST	31		bootstrap.min.js	1590485829627	1590485829636	OK	 
REQUEST	36		spring-pivotal-logo.png	1590485829571	1590485829637	OK	 
REQUEST	36		pets.png	1590485829570	1590485829637	OK	 
REQUEST	31		favicon.png	1590485829568	1590485829638	OK	 
REQUEST	31		spring-pivotal-logo.png	1590485829573	1590485829639	OK	 
REQUEST	31		pets.png	1590485829572	1590485829639	OK	 
USER	Accept	37	START	1590485829665	1590485829665
USER	Reject	43	START	1590485829665	1590485829665
REQUEST	43		Home	1590485829665	1590485829668	OK	 
REQUEST	37		Home	1590485829665	1590485829668	OK	 
REQUEST	37		favicon.png	1590485829672	1590485829698	OK	 
REQUEST	37		petclinic.css	1590485829673	1590485829699	OK	 
REQUEST	43		favicon.png	1590485829672	1590485829700	OK	 
REQUEST	37		jquery-ui.min.css	1590485829673	1590485829701	OK	 
