ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.Historia22Test	historia22test	1590522786541	 	3.3.1
USER	DiagnosisNotCreatedScn	157	START	1590522798851	1590522798851
REQUEST	64		Login	1590522798851	1590522798852	OK	 
REQUEST	57		Login	1590522798851	1590522798852	OK	 
REQUEST	151		Home	1590522798851	1590522798853	OK	 
REQUEST	157		Home	1590522798851	1590522798853	OK	 
REQUEST	65		Login	1590522798988	1590522798989	OK	 
REQUEST	58		Login	1590522798988	1590522798989	OK	 
USER	DiagnosisCreatedScn	152	START	1590522799018	1590522799018
USER	DiagnosisNotCreatedScn	158	START	1590522799018	1590522799018
REQUEST	158		Home	1590522799019	1590522799020	OK	 
REQUEST	152		Home	1590522799019	1590522799020	OK	 
REQUEST	59		Login	1590522799144	1590522799146	OK	 
REQUEST	66		Login	1590522799144	1590522799146	OK	 
USER	DiagnosisNotCreatedScn	159	START	1590522799190	1590522799190
USER	DiagnosisCreatedScn	153	START	1590522799190	1590522799190
REQUEST	153		Home	1590522799191	1590522799194	OK	 
REQUEST	159		Home	1590522799191	1590522799194	OK	 
REQUEST	67		Login	1590522799269	1590522799270	OK	 
REQUEST	60		Login	1590522799289	1590522799290	OK	 
USER	DiagnosisCreatedScn	154	START	1590522799351	1590522799351
USER	DiagnosisNotCreatedScn	160	START	1590522799351	1590522799351
REQUEST	160		Home	1590522799352	1590522799353	OK	 
REQUEST	154		Home	1590522799352	1590522799353	OK	 
REQUEST	61		Login	1590522799420	1590522799421	OK	 
REQUEST	68		Login	1590522799420	1590522799421	OK	 
USER	DiagnosisCreatedScn	155	START	1590522799519	1590522799519
USER	DiagnosisNotCreatedScn	161	START	1590522799519	1590522799519
REQUEST	161		Home	1590522799519	1590522799521	OK	 
REQUEST	155		Home	1590522799519	1590522799521	OK	 
REQUEST	62		Login	1590522799562	1590522799563	OK	 
REQUEST	69		Login	1590522799562	1590522799563	OK	 
USER	DiagnosisCreatedScn	156	START	1590522799692	1590522799692
USER	DiagnosisNotCreatedScn	162	START	1590522799692	1590522799692
REQUEST	156		Home	1590522799692	1590522799694	OK	 
REQUEST	162		Home	1590522799692	1590522799694	OK	 
REQUEST	63		Login	1590522799703	1590522799704	OK	 
REQUEST	70		Login	1590522799703	1590522799704	OK	 
USER	DiagnosisNotCreatedScn	170	START	1590522799831	1590522799831
USER	DiagnosisCreatedScn	163	START	1590522799831	1590522799831
REQUEST	163		Home	1590522799832	1590522799835	OK	 
REQUEST	170		Home	1590522799832	1590522799835	OK	 
REQUEST	77		Login	1590522799864	1590522799864	OK	 
REQUEST	71		Login	1590522799864	1590522799864	OK	 
USER	DiagnosisCreatedScn	164	START	1590522799974	1590522799974
USER	DiagnosisNotCreatedScn	171	START	1590522799974	1590522799974
REQUEST	164		Home	1590522799974	1590522799978	OK	 
REQUEST	171		Home	1590522799974	1590522799978	OK	 
REQUEST	72		Login	1590522800030	1590522800031	OK	 
REQUEST	78		Login	1590522800030	1590522800031	OK	 
USER	DiagnosisCreatedScn	165	START	1590522800109	1590522800109
USER	DiagnosisNotCreatedScn	172	START	1590522800109	1590522800109
REQUEST	172		Home	1590522800110	1590522800111	OK	 
REQUEST	165		Home	1590522800110	1590522800111	OK	 
REQUEST	73		Login	1590522800189	1590522800190	OK	 
REQUEST	79		Login	1590522800189	1590522800190	OK	 
USER	DiagnosisCreatedScn	166	START	1590522800252	1590522800252
USER	DiagnosisNotCreatedScn	173	START	1590522800252	1590522800252
REQUEST	166		Home	1590522800253	1590522800254	OK	 
REQUEST	173		Home	1590522800253	1590522800254	OK	 
REQUEST	74		Login	1590522800364	1590522800366	OK	 
REQUEST	80		Login	1590522800364	1590522800366	OK	 
USER	DiagnosisCreatedScn	167	START	1590522800399	1590522800399
USER	DiagnosisNotCreatedScn	174	START	1590522800399	1590522800399
REQUEST	167		Home	1590522800401	1590522800404	OK	 
REQUEST	174		Home	1590522800401	1590522800404	OK	 
REQUEST	81		Login	1590522800519	1590522800520	OK	 
REQUEST	75		Login	1590522800519	1590522800520	OK	 
USER	DiagnosisNotCreatedScn	175	START	1590522800539	1590522800539
USER	DiagnosisCreatedScn	168	START	1590522800539	1590522800539
