ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.Historia21Test	historia21test	1590516206730	 	3.3.1
USER	VetNotCreatedScn	231	START	1590516212000	1590516212000
USER	VetCreatedScn	206	START	1590516212000	1590516212000
REQUEST	231		Home	1590516212001	1590516212006	OK	 
REQUEST	206		Home	1590516212001	1590516212006	OK	 
USER	VetCreatedScn	207	START	1590516212044	1590516212044
USER	VetNotCreatedScn	232	START	1590516212044	1590516212044
REQUEST	232		Home	1590516212044	1590516212046	OK	 
REQUEST	207		Home	1590516212044	1590516212046	OK	 
USER	VetNotCreatedScn	233	START	1590516212080	1590516212080
USER	VetCreatedScn	208	START	1590516212080	1590516212080
REQUEST	233		Home	1590516212081	1590516212083	OK	 
REQUEST	208		Home	1590516212081	1590516212083	OK	 
USER	VetCreatedScn	209	START	1590516212121	1590516212121
USER	VetNotCreatedScn	234	START	1590516212121	1590516212121
REQUEST	209		Home	1590516212121	1590516212123	OK	 
REQUEST	234		Home	1590516212121	1590516212123	OK	 
USER	VetNotCreatedScn	235	START	1590516212162	1590516212162
USER	VetCreatedScn	210	START	1590516212162	1590516212162
REQUEST	235		Home	1590516212162	1590516212165	OK	 
REQUEST	210		Home	1590516212162	1590516212165	OK	 
USER	VetCreatedScn	211	START	1590516212206	1590516212206
USER	VetNotCreatedScn	236	START	1590516212206	1590516212206
REQUEST	236		Home	1590516212206	1590516212208	OK	 
REQUEST	211		Home	1590516212206	1590516212208	OK	 
USER	VetNotCreatedScn	237	START	1590516212242	1590516212242
USER	VetCreatedScn	212	START	1590516212242	1590516212242
REQUEST	212		Home	1590516212242	1590516212245	OK	 
REQUEST	237		Home	1590516212242	1590516212245	OK	 
USER	VetNotCreatedScn	238	START	1590516212284	1590516212284
USER	VetCreatedScn	213	START	1590516212284	1590516212284
REQUEST	213		Home	1590516212285	1590516212286	OK	 
REQUEST	238		Home	1590516212285	1590516212286	OK	 
USER	VetCreatedScn	214	START	1590516212320	1590516212320
USER	VetNotCreatedScn	239	START	1590516212320	1590516212320
REQUEST	214		Home	1590516212321	1590516212323	OK	 
REQUEST	239		Home	1590516212321	1590516212323	OK	 
USER	VetCreatedScn	215	START	1590516212363	1590516212363
USER	VetNotCreatedScn	240	START	1590516212363	1590516212363
REQUEST	240		Home	1590516212363	1590516212365	OK	 
REQUEST	215		Home	1590516212363	1590516212365	OK	 
USER	VetNotCreatedScn	241	START	1590516212400	1590516212400
USER	VetCreatedScn	216	START	1590516212400	1590516212400
REQUEST	241		Home	1590516212401	1590516212403	OK	 
REQUEST	216		Home	1590516212401	1590516212403	OK	 
USER	VetNotCreatedScn	242	START	1590516212441	1590516212441
USER	VetCreatedScn	217	START	1590516212441	1590516212441
REQUEST	217		Home	1590516212441	1590516212444	OK	 
REQUEST	242		Home	1590516212441	1590516212444	OK	 
USER	VetCreatedScn	218	START	1590516212482	1590516212482
