ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.CreateReservationTwoScenariosHU12Diagnosis	createreservationtwoscenarioshu12diagnosis	1590419531487	 	3.3.1
USER	FailReservationTwoScenariosHU12	185	START	1590419539631	1590419539631
REQUEST	171		request_0	1590419539632	1590419539642	OK	 
REQUEST	185		request_0	1590419539632	1590419539642	OK	 
USER	FailReservationTwoScenariosHU12	186	START	1590419539702	1590419539702
USER	CreateReservationTwoScenariosHU12	172	START	1590419539702	1590419539702
REQUEST	172		request_0	1590419539704	1590419539714	OK	 
REQUEST	186		request_0	1590419539704	1590419539714	OK	 
USER	CreateReservationTwoScenariosHU12	173	START	1590419539766	1590419539766
USER	FailReservationTwoScenariosHU12	187	START	1590419539766	1590419539766
REQUEST	173		request_0	1590419539768	1590419539778	OK	 
REQUEST	187		request_0	1590419539768	1590419539778	OK	 
USER	CreateReservationTwoScenariosHU12	174	START	1590419539836	1590419539836
USER	FailReservationTwoScenariosHU12	188	START	1590419539836	1590419539836
REQUEST	174		request_0	1590419539838	1590419539848	OK	 
REQUEST	188		request_0	1590419539838	1590419539848	OK	 
USER	FailReservationTwoScenariosHU12	189	START	1590419539906	1590419539906
REQUEST	189		request_0	1590419539908	1590419539917	OK	 
USER	CreateReservationTwoScenariosHU12	175	START	1590419539921	1590419539921
REQUEST	175		request_0	1590419539923	1590419539933	OK	 
USER	CreateReservationTwoScenariosHU12	176	START	1590419539988	1590419539988
USER	FailReservationTwoScenariosHU12	190	START	1590419539988	1590419539988
REQUEST	176		request_0	1590419539990	1590419540001	OK	 
REQUEST	190		request_0	1590419539990	1590419540002	OK	 
USER	CreateReservationTwoScenariosHU12	191	START	1590419540058	1590419540058
USER	FailReservationTwoScenariosHU12	204	START	1590419540058	1590419540058
REQUEST	204		request_0	1590419540059	1590419540071	OK	 
REQUEST	191		request_0	1590419540059	1590419540071	OK	 
USER	FailReservationTwoScenariosHU12	205	START	1590419540139	1590419540139
USER	CreateReservationTwoScenariosHU12	192	START	1590419540139	1590419540139
REQUEST	192		request_0	1590419540140	1590419540151	OK	 
REQUEST	205		request_0	1590419540140	1590419540151	OK	 
USER	FailReservationTwoScenariosHU12	206	START	1590419540206	1590419540206
REQUEST	206		request_0	1590419540207	1590419540217	OK	 
USER	CreateReservationTwoScenariosHU12	193	START	1590419540218	1590419540218
REQUEST	193		request_0	1590419540219	1590419540229	OK	 
USER	CreateReservationTwoScenariosHU12	194	START	1590419540287	1590419540287
USER	FailReservationTwoScenariosHU12	207	START	1590419540287	1590419540287
REQUEST	207		request_0	1590419540289	1590419540299	OK	 
REQUEST	194		request_0	1590419540289	1590419540299	OK	 
USER	CreateReservationTwoScenariosHU12	195	START	1590419540366	1590419540366
USER	FailReservationTwoScenariosHU12	208	START	1590419540366	1590419540366
REQUEST	195		request_0	1590419540368	1590419540377	OK	 
REQUEST	208		request_0	1590419540368	1590419540377	OK	 
USER	CreateReservationTwoScenariosHU12	196	START	1590419540450	1590419540450
USER	FailReservationTwoScenariosHU12	209	START	1590419540450	1590419540450
REQUEST	196		request_0	1590419540451	1590419540460	OK	 
REQUEST	209		request_0	1590419540451	1590419540460	OK	 
USER	CreateReservationTwoScenariosHU12	197	START	1590419540518	1590419540518
